Headline,Domain,Keywords,Sentiment
Google employee charged with stealing AI trade secrets,Business-Tech,"['google', 'employee', 'charged', 'stealing', 'ai', 'trade', 'secret']",Negative
"Top AI photo generators produce misleading election-related images, study finds",Business-Tech,"['top', 'ai', 'photo', 'generator', 'produce', 'misleading', 'election-related', 'image', 'study', 'find']",Negative
OpenAI publishes Elon Musk’s emails. ‘We’re sad that it’s come to this’,Business-Tech,"['openai', 'publishes', 'elon', 'musk', '’', 'email', '‘', '’', 'sad', '’', 'come', '’']",Negative
"Elon Musk’s X must face copyright infringement suit by music publishers, federal judge says",Business-Tech,"['elon', 'musk', '’', 'x', 'must', 'face', 'copyright', 'infringement', 'suit', 'music', 'publisher', 'federal', 'judge', 'say']",Negative
Apple iPhones sales fall 24% in China amid competition and headwinds,Business-Tech,"['apple', 'iphones', 'sale', 'fall', '24', 'china', 'amid', 'competition', 'headwind']",Neutral
"Federal appeals court throws out lawsuit against Apple, Google, Tesla and other tech giants over alleged child labor in Congo",Business-Tech,"['federal', 'appeal', 'court', 'throw', 'lawsuit', 'apple', 'google', 'tesla', 'tech', 'giant', 'alleged', 'child', 'labor', 'congo']",Negative
Federal judge mocks Elon Musk’s X lawsuit targeting hate speech researchers,Business-Tech,"['federal', 'judge', 'mock', 'elon', 'musk', '’', 'x', 'lawsuit', 'targeting', 'hate', 'speech', 'researcher']",Negative
"Meta accused of ‘massive, illegal’ data processing by European consumer groups",Business-Tech,"['meta', 'accused', '‘', 'massive', 'illegal', '’', 'data', 'processing', 'european', 'consumer', 'group']",Negative
TikTok is getting a new head of global trust and safety,Business-Tech,"['tiktok', 'getting', 'new', 'head', 'global', 'trust', 'safety']",Positive
Here’s why a SCOTUS ruling on social media rules matters to so many people,Business-Tech,"['’', 'scotus', 'ruling', 'social', 'medium', 'rule', 'matter', 'many', 'people']",Neutral
Sony to lay off 900 at PlayStation as tough times for the video games industry persist,Business-Tech,"['sony', 'lay', '900', 'playstation', 'tough', 'time', 'video', 'game', 'industry', 'persist']",Negative
How to protect yourself from iPhone thieves locking you out of your own device,Business-Tech,"['protect', 'iphone', 'thief', 'locking', 'device']",Negative
US government’s proposal to boost EV sales is challenging but not impossible,Business-Tech,"['u', 'government', '’', 'proposal', 'boost', 'ev', 'sale', 'challenging', 'impossible']",Positive
FBI warns consumers not to use public phone charging stations,Business-Tech,"['fbi', 'warns', 'consumer', 'use', 'public', 'phone', 'charging', 'station']",Negative
Germany is gripped by strikes and Lufthansa is hurting,Business-Tech,"['germany', 'gripped', 'strike', 'lufthansa', 'hurting']",Negative
What to expect in Friday’s jobs report,Business-Tech,"['expect', 'friday', '’', 'job', 'report']",Neutral
What to expect in Friday’s jobs report,Business-Tech,"['expect', 'friday', '’', 'job', 'report']",Neutral
She moved to Italy and bought a palazzo for a fresh start. Her ex-husband came with her,Travel,"['moved', 'italy', 'bought', 'palazzo', 'fresh', 'start', 'ex-husband', 'came']",Positive
Nepal to require all Mount Everest climbers to use a tracking chip,Travel,"['nepal', 'require', 'mount', 'everest', 'climber', 'use', 'tracking', 'chip']",Neutral
Airplane safety has hit a new record. But these ‘critical phase’ challenges are still a problem,Travel,"['airplane', 'safety', 'hit', 'new', 'record', '‘', 'critical', 'phase', '’', 'challenge', 'still', 'problem']",Negative
"Mexican volcano spews massive columns of ash and smoke, forcing flight cancelations",Travel,"['mexican', 'volcano', 'spews', 'massive', 'column', 'ash', 'smoke', 'forcing', 'flight', 'cancelations']",Neutral
Walt Disney World has raised ticket prices for 2025,Travel,"['walt', 'disney', 'world', 'raised', 'ticket', 'price', '2025']",Neutral
He’s visited every corner of the Earth. Now he wants to try a very different challenge,Travel,"['’', 'visited', 'every', 'corner', 'earth', 'want', 'try', 'different', 'challenge']",Positive
Spanish city to charge landmark entry fee to control overtourism,Travel,"['spanish', 'city', 'charge', 'landmark', 'entry', 'fee', 'control', 'overtourism']",Positive
